"u,N,18,0","v,N,18,0","name,C,80"
255015605,1284479744,
255015605,1284479766,Avenida de la Marina
255015605,1284479773,Avenida de la Marina
255015612,1284479835,Calle Moral
255015612,255015626,Avenida de la Marina
255015612,257888216,Avenida de la Marina
255015612,4055452455,Calle Moral
255015619,7105789187,Avenida de la Marina
255015619,255015622,
255015619,1284479744,Avenida de la Marina
255015622,6327629824,
255015622,255015624,
255015624,255025369,Avenida Ejercito
255015624,6314219626,Calle la Recoleta
255015626,7105789186,Avenida de la Marina
255015626,1284479757,
255025369,255025373,Ovalo Miguel Grau
255025369,11010602478,Ovalo  Miguel Grau
255025373,5534090493,Ovalo  Miguel Grau
255025373,2100151396,Calle Puente Grau
255025391,876656059,Calle Santa Catalina
255025391,257689298,Calle Santa Catalina
255025391,1264289574,Calle Ugarte
255025392,1264284856,Calle Francisco de Zela
255025392,257689328,Calle Santa Catalina
255025392,257887190,Calle Santa Catalina
255025421,6314219626,Calle la Recoleta
255025421,4075488093,Calle la Recoleta
255025421,4075491941,Ronda Recoleta
255025425,5122593494,
255025425,4075491941,Ronda Recoleta
255025425,255025427,Ronda Recoleta
255025427,5186775693,Avenida Emmel
257553424,9487193848,Avenida de la Marina
257553424,259757272,Calle 28 de Julio
257553424,1284479741,Avenida de la Marina
257553430,11012886975,Avenida Salaverry
257553430,11009127066,Alameda Mario Vargas Llosa
257553430,1264359104,Calle la Merced
257553430,2085078794,Calle Sucre
257553430,11009127065,Avenida Salaverry
257553434,2084948813,Pasaje Martinetti
257553434,260365760,Avenida Parra
257553434,5706313119,Pasaje Martinetti
257553434,9410645594,Avenida Parra
257553441,8374968447,
257553441,10904424405,Avenida Miguel Forga
257553441,11007937311,
257571168,10904424561,Avenida Miguel Forga
257571168,5375241714,Calle Victor Lira
257571168,2087449451,Calle Jacinto Ibanez
257571168,260368188,Calle Jacinto Ibanez
257571168,10904424545,Avenida Miguel Forga
257689298,1264342650,Calle Moral
257689298,876656046,Santa Catalina
257689298,5380727094,Calle Moral
257689328,1264309103,Calle Puente Grau
257689328,257689498,Calle Santa Catalina
257689328,2365980323,Calle Puente Grau
257689498,531251853,Juan del la Torre
257689498,4055466962,
257689498,10997907541,Juan del la Torre
257689625,10885702067,Juan del la Torre
257689625,1264342868,Pasaje Bayoneta
257689625,531251853,Juan del la Torre
257689666,1284563549,
257689666,257889419,
257689666,1284479744,Avenida de la Marina
257689666,1284479890,Avenida de la Marina
257689748,4336252344,Juan del la Torre
257689748,1264300204,Quinta Vivanco
257689748,7112683822,Juan del la Torre
257689749,1284479890,Juan del la Torre
257689749,1736356090,
257689749,4336252344,Juan del la Torre
257689988,259156435,
257689988,259156405,
257689988,1252984299,Calle Consuelo
257887190,257887385,Calle Santa Catalina
257887190,1284479824,Calle Francisco de Zela
257887385,4110736812,Calle Ugarte
257887385,876656059,Calle Santa Catalina
257888214,3605978251,Avenida de la Marina
257888214,257888216,Calle San Agustin
257888214,1284479835,Avenida de la Marina
257888216,4055452452,Calle San Agustin
257888216,4055452451,Avenida de la Marina
257889419,2100151394,
257889419,1284479802,Avenida de la Marina
257889419,1284479766,Avenida de la Marina
257889677,4106794719,Avenida Francisco Bolognesi
257889677,4318641453,Avenida Francisco Bolognesi
257889677,4318641455,Avenida Francisco Bolognesi
258058331,5208918205,
258058331,8375245721,Ovalo Quinonez
258058331,8375245722,Ovalo Quinonez
