"osmid,N,18,0","y,N,24,15","x,N,24,15"
255015605,-163.927.999,-715.382.595
255015612,-163.958.857,-715.397.615
255015619,-163.943.077,-715.390.313
255015622,-163.924.879,-715.402.065
255015624,-163.922.555,-715.406.044
255015626,-163.957.895,-715.396.419
255025369,-16.392.622,-715.397.526
255025373,-163.925.985,-715.394.528
255025391,-163.962.247,-715.365.403
255025392,-163.944.914,-71.535.904
255025421,-163.934.626,-715.412.538
255025425,-163.935.121,-715.429.306
255025427,-163.934.681,-715.439.532
257553424,-164.023.706,-715.428.461
257553430,-164.056.874,-715.400.942
257553434,-164.126.853,-715.455.556
257553441,-164.221.575,-715.442.525
257571168,-164.213.098,-71.545.711
257689298,-163.970.863,-715.368.801
257689328,-163.939.332,-715.357.008
257689498,-163.933.344,-715.354.481
257689625,-163.931.231,-715.351.452
257689666,-163.925.391,-71.537.052
257689748,-163.930.482,-715.363.805
257689749,-163.929.116,-715.365.745
257689988,-163.999.551,-715.420.917
257887190,-163.949.866,-715.360.857
257887385,-163.960.326,-715.364.693
257888214,-163.964.679,-715.407.441
257888216,-163.966.854,-71.540.668
257889419,-163.927.608,-715.371.696
257889677,-163.920.033,-715.395.689
258058331,-163.973.109,-715.471.994
258058336,-163.971.443,-715.475.237
258058338,-163.972.416,-715.475.569
259156387,-163.997.158,-715.424.577
259156397,-163.990.897,-715.418.442
259156405,-164.006.325,-715.424.806
259156435,-163.994.833,-715.419.226
259156755,-163.983.995,-715.418.079
259757272,-164.024.061,-715.427.535
260365760,-16.412.141,-71.545.107
260366211,-164.083.481,-715.514.714
260368188,-164.211.475,-715.456.971
283417881,-1.640.594,-715.472.096
283417887,-164.060.335,-715.471.882
283422405,-164.042.329,-715.462.255
283422406,-164.048.443,-715.465.436
283422603,-164.043.244,-715.424.846
283423115,-164.047.297,-715.427.896
283423119,-164.045.818,-71.542.448
283423130,-164.042.369,-71.542.612
283423449,-164.025.628,-715.472.713
283423451,-164.043.571,-715.429.374
283423807,-164.031.585,-715.474.855
283423882,-1.640.237,-715.478.485
283424077,-164.000.676,-715.498.646
283787906,-164.037.069,-715.493.073
283789174,-164.024.326,-715.490.933
283789844,-164.026.654,-715.509.265
283789846,-164.025.458,-715.512.262
283795209,-164.015.608,-715.508.085
283812502,-164.003.179,-715.464.353
283812507,-163.979.937,-715.457.276
283812509,-163.978.875,-715.456.859
283814466,-163.996.793,-715.463.845
286866805,-164.028.382,-715.514.614
286866810,-16.402.882,-715.513.499
287889414,-164.165.786,-715.506.786
303567295,-16.404.095,-715.435.595
303567317,-164.041.309,-715.434.762
409472812,-164.200.957,-715.381.194
409472813,-164.208.682,-715.404.591
409472815,-16.417.624,-715.347.649
409472817,-164.214.134,-715.414.472
409473092,-164.230.025,-715.452.408
461499177,-163.968.025,-715.343.086
461499178,-163.971.967,-715.332.068
462009629,-163.992.429,-715.340.491
462009631,-1.639.861,-715.325.669
472283032,-163.944.035,-715.320.435
472283033,-16.391.951,-715.314.002
531251853,-163.933.022,-7.153.531
531251864,-163.922.998,-715.343.873
531251889,-163.918.845,-715.323.625
531251996,-163.939.176,-715.317.896
531252021,-163.934.197,-715.336.573
531252143,-163.935.228,-715.317.367
531252148,-163.918.844,-715.314.024
531263579,-163.909.191,-715.285.466
531269880,-163.916.436,-715.307.318
531269963,-163.917.021,-71.530.692
531270051,-163.924.386,-715.306.669
531270064,-163.934.902,-715.306.441
531270069,-163.947.759,-715.310.529
531270096,-163.924.223,-715.315.156
531270109,-163.934.083,-715.293.583
873867970,-164.005.144,-71.546.502
873867977,-163.985.992,-715.445.806
873868065,-163.933.738,-715.338.353
876655990,-163.946.315,-715.365.744
876655994,-163.951.914,-715.366.831
876655996,-163.947.889,-715.366.365
876656003,-163.953.833,-715.363.377
876656015,-163.946.783,-715.363.296
876656016,-163.958.264,-715.370.593
876656017,-163.953.241,-715.364.156
876656025,-163.964.002,-715.426.316
876656039,-163.945.964,-71.536.666
876656046,-16.397.631,-715.370.664
876656059,-163.960.707,-715.364.766
876656064,-163.948.796,-715.363.841
876656091,-16.394.607,-715.365.623
