osmid,lat,lon,geohash
255015605,-16.3927999,-71.5382595,6mj4spg3j
255015612,-16.3958857,-71.5397615,6mj4sp4r4
255015619,-16.3943077,-71.5390313,6mj4spdb5
255015622,-16.3924879,-71.5402065,6mj4spf4b
255015624,-16.3922555,-71.5406044,6mj4spcsp
255015626,-16.3957895,-71.5396419,6mj4sp4rt
255025369,-16.3926220,-71.5397526,6mj4spf64
255025373,-16.3925985,-71.5394528,6mj4spfd1
255025391,-16.3962247,-71.5365403,6mj4sphtj
255025392,-16.3944914,-71.5359040,6mj4spmph
255025421,-16.3934626,-71.5412538,6mj4sp9jp
255025425,-16.3935121,-71.5429306,6mj4sp8hb
255025427,-16.3934681,-71.5439532,6mj4ezxm1
257553424,-16.4023706,-71.5428461,6mj4sn016
257553430,-16.4056874,-71.5400942,6mj4sj6jf
257553434,-16.4126853,-71.5455556,6mj4eunj5
257553441,-16.4221575,-71.5442525,6mj4efrjf
257571168,-16.4213098,-71.5457110,6mj4efw4b
257689298,-16.3970863,-71.5368801,6mj4sph2j
257689328,-16.3939332,-71.5357008,6mj4spt63
257689498,-16.3933344,-71.5354481,6mj4sptmz
257689625,-16.3931231,-71.5351452,6mj4sptxn
257689666,-16.3925391,-71.5370520,6mj4spu69
257689748,-16.3930482,-71.5363805,6mj4spsz9
257689749,-16.3929116,-71.5365745,6mj4spu8k
257689988,-16.3999551,-71.5420917,6mj4sn2xk
257887190,-16.3949866,-71.5360857,6mj4spmh2
257887385,-16.3960326,-71.5364693,6mj4sphwp
257888214,-16.3964679,-71.5407441,6mj4sp1ee
257888216,-16.3966854,-71.5406680,6mj4sp1dm
257889419,-16.3927608,-71.5371696,6mj4spu1p
257889677,-16.3920033,-71.5395689,6mj4spfmx
258058331,-16.3973109,-71.5471994,6mj4eyuyt
258058336,-16.3971443,-71.5475237,6mj4eyuxt
258058338,-16.3972416,-71.5475569,6mj4eyuxj
259156387,-16.3997158,-71.5424577,6mj4sn82e
259156397,-16.3990897,-71.5418442,6mj4sn8u6
259156405,-16.4006325,-71.5424806,6mj4sn277
259156435,-16.3994833,-71.5419226,6mj4sn8f0
259156755,-16.3983995,-71.5418079,6mj4snbb7
259757272,-16.4024061,-71.5427535,6mj4sn01j
260365760,-16.4121410,-71.5451070,6mj4euq2q
260366211,-16.4083481,-71.5514714,6mj4eucy3
260368188,-16.4211475,-71.5456971,6mj4efw5b
283417881,-16.4059400,-71.5472096,6mj4evkum
283417887,-16.4060335,-71.5471882,6mj4evkgv
283422405,-16.4042329,-71.5462255,6mj4evtwk
283422406,-16.4048443,-71.5465436,6mj4evt6u
283422603,-16.4043244,-71.5424846,6mj4sj8mg
283423115,-16.4047297,-71.5427896,6mj4sj85s
283423119,-16.4045818,-71.5424480,6mj4sj8kk
283423130,-16.4042369,-71.5426120,6mj4sj8q2
283423449,-16.4025628,-71.5472713,6mj4eyhb5
283423451,-16.4043571,-71.5429374,6mj4sj8j8
283423807,-16.4031585,-71.5474855,6mj4evusw
283423882,-16.4023700,-71.5478485,6mj4eyh3q
283424077,-16.4000676,-71.5498646,6mj4ey6yx
283787906,-16.4037069,-71.5493073,6mj4evg3k
283789174,-16.4024326,-71.5490933,6mj4ey58c
283789844,-16.4026654,-71.5509265,6mj4evfpw
283789846,-16.4025458,-71.5512262,6mj4ey1bp
283795209,-16.4015608,-71.5508085,6mj4ey4mc
283812502,-16.4003179,-71.5464353,6mj4eymmp
283812507,-16.3979937,-71.5457276,6mj4eyvfz
283812509,-16.3978875,-71.5456859,6mj4eyy52
283814466,-16.3996793,-71.5463845,6mj4eyt8b
286866805,-16.4028382,-71.5514614,6mj4evcyd
286866810,-16.4028820,-71.5513499,6mj4evcyk
287889414,-16.4165786,-71.5506786,6mj4eg6qk
303567295,-16.4040950,-71.5435595,6mj4evxx4
303567317,-16.4041309,-71.5434762,6mj4evxxh
409472812,-16.4200957,-71.5381194,6mj4s4gd0
409472813,-16.4208682,-71.5404591,6mj4s49vd
409472815,-16.4176240,-71.5347649,6mj4s5mbr
409472817,-16.4214134,-71.5414472,6mj4s4947
409473092,-16.4230025,-71.5452408,6mj4efq35
461499177,-16.3968025,-71.5343086,6mj4spn39
461499178,-16.3971967,-71.5332068,6mj4snzp7
462009629,-16.3992429,-71.5340491,6mj4snw7r
462009631,-16.3986100,-71.5325669,6mj4snxx4
472283032,-16.3944035,-71.5320435,6mj4sprzw
472283033,-16.3919510,-71.5314002,6mj4srbmv
531251853,-16.3933022,-71.5353100,6mj4sptw4
531251864,-16.3922998,-71.5343873,6mj4spy5z
531251889,-16.3918845,-71.5323625,6mj4spzwr
531251996,-16.3939176,-71.5317896,6mj4sr84s
531252021,-16.3934197,-71.5336573,6mj4spwv2
531252143,-16.3935228,-71.5317367,6mj4sr8hv
531252148,-16.3918844,-71.5314024,6mj4srbqm
531263579,-16.3909191,-71.5285466,6mj4u24eb
531269880,-16.3916436,-71.5307318,6mj4srbzv
531269963,-16.3917021,-71.5306920,6mj4srbzq
531270051,-16.3924386,-71.5306669,6mj4srbgn
531270064,-16.3934902,-71.5306441,6mj4sr8uz
531270069,-16.3947759,-71.5310529,6mj4sr2tt
531270096,-16.3924223,-71.5315156,6mj4srb74
531270109,-16.3934083,-71.5293583,6mj4sr9vm
873867970,-16.4005144,-71.5465020,6mj4eymkj
873867977,-16.3985992,-71.5445806,6mj4eywz4
873868065,-16.3933738,-71.5338353,6mj4spwts
876655990,-16.3946315,-71.5365744,6mj4spkwk
876655994,-16.3951914,-71.5366831,6mj4spke4
876655996,-16.3947889,-71.5366365,6mj4spkt7
876656003,-16.3953833,-71.5363377,6mj4spkcf
876656015,-16.3946783,-71.5363296,6mj4spky4
